Player name,Pos,Team,GP,G,A,P,PIM,+/-
Austin Cangelosi,C,Storhamar Ishockey,4,2,6,8,2,0
Michael Haga,LW,IF Frisk Asker,4,1,7,8,2,0
Linus Pettersson,LW,Narvik IK,5,2,6,8,6,0
Teemu Siironen,C,Nidaros Ishockeyklubb,5,1,7,8,0,0
Mathis Olimb,C,Vålerenga IF,4,4,4,8,6,0
Tobias Lindström,LW,IF Frisk Asker,4,4,3,7,0,0
Andreas Martinsen,F,Storhamar Ishockey,4,2,5,7,2,0
Blake McLaughlin,LW,Vålerenga IF,4,1,6,7,0,0
Olle Liss,RW,Storhamar Ishockey,4,4,2,6,2,0
Tobias Åhström,LW,Narvik IK,5,2,4,6,2,0
Martin Ellingsen,F,Lillehammer IK,4,3,3,6,2,0
Håkon Nilsen,D,Vålerenga IF,4,3,3,6,0,0
Nicholas Caamano,RW,Vålerenga IF,4,4,2,6,6,0
Oscar Öhman,C,Lillehammer IK,4,1,4,5,2,0
Jacob Berglund,C,Storhamar Ishockey,4,4,1,5,2,0
Gabriel Koch,D,Vålerenga IF,4,0,5,5,0,0
Viktor Granholm,F,IF Frisk Asker,4,3,2,5,2,0
Mattias Nørstebø,D,Stavanger Oilers,4,0,5,5,0,0
Theo Nordlund,D,Narvik IK,5,3,1,4,4,0
William Magnusson,RW,Stjernen Hockey,4,2,2,4,4,0
Kristian Jakobsson,LW,Sparta Sarpsborg,4,3,1,4,0,0
Calle Spaberg Olsen,LW,Lørenskog IK,3,0,4,4,0,0
Sebastian Kaijser,C,Stjernen Hockey,4,2,2,4,2,0
Cameron Morrison,LW,Stavanger Oilers,4,3,1,4,0,0
Mathias Trettenes,C,Stavanger Oilers,4,1,3,4,2,0
Zach Andrusiak,LW,Stavanger Oilers,4,4,0,4,2,0
Jesper Kokkonen,LW,Narvik IK,5,0,4,4,8,0
Adam Bäckehag,D,Nidaros Ishockeyklubb,5,2,2,4,2,0
Mikkel Seiergren Christiansen,F,Vålerenga IF,4,1,3,4,10,0
Mateusz Szurowski,C,Nidaros Ishockeyklubb,5,2,2,4,2,0
Svein Petter Falk-Larssen,F,Nidaros Ishockeyklubb,5,3,1,4,2,0
Sebastian Johansen,C,Sparta Sarpsborg,4,1,3,4,0,0
Lars Christian Rødne,LW,Stavanger Oilers,4,3,0,3,0,0
Colin Campbell,C,Storhamar Ishockey,4,1,2,3,2,0
Stefan Espeland,D,Storhamar Ishockey,4,0,3,3,0,0
Ryan Lasch,RW,Vålerenga IF,2,0,3,3,2,0
Filip Nordin,LW,Lørenskog IK,4,1,2,3,2,0
Victor Öhman,RW,Sparta Sarpsborg,4,0,3,3,2,0
Ludwig Wistén,LW,Nidaros Ishockeyklubb,3,2,1,3,2,0
Joachim M. Engesveen,F,Lillehammer IK,4,1,2,3,0,0
Adrian Ellingsen,LW,Lillehammer IK,4,2,1,3,0,0
Mathias Papuga,D,Storhamar Ishockey,4,0,3,3,0,0
Martin Rønnild,C,Storhamar Ishockey,4,2,1,3,0,0
Håkon Imset Stormli,LW,Stjernen Hockey,4,1,2,3,0,0
Daniel Bøen Rokseth,D,Vålerenga IF,4,0,3,3,0,0
Vegard Fredriksen,F,Lillehammer IK,4,1,2,3,2,0
Anton Öhman,D,Nidaros Ishockeyklubb,5,0,3,3,2,0
Liam Sætre,F,Lillehammer IK,4,2,1,3,0,0
Christian Fosse,D,Lillehammer IK,4,1,2,3,2,0
Anton Björkman,D,IF Frisk Asker,4,0,3,3,0,0
Pontus Finstad,C,Vålerenga IF,4,3,0,3,6,0
Zebastian Bodini Schmitt,F,Nidaros Ishockeyklubb,5,0,3,3,2,0
Johannes Løkkeberg,C,Stavanger Oilers,4,2,1,3,2,0
Adam Millén,F,Sparta Sarpsborg,4,2,1,3,0,0
Markus Modigs,LW,Vålerenga IF,4,2,1,3,4,0
Ole Indergaard,F,Nidaros Ishockeyklubb,5,0,3,3,0,0
Robin Sakshaug,D,Nidaros Ishockeyklubb,5,0,3,3,6,0
Felix Haugen Amundsen,D,Lørenskog IK,4,1,2,3,0,0
Joachim Hermansen,F,IF Frisk Asker,4,0,2,2,4,0
Tobias Fladeby,LW,IF Frisk Asker,4,1,1,2,2,0
Linus Rosdahl,D,Stjernen Hockey,4,1,1,2,4,0
Theodor Mateus Steen-Gulbrandsen,F,Lørenskog IK,4,1,1,2,2,0
Hampus Gustavsson,LW,IF Frisk Asker,4,2,0,2,20,0
Mathias Dehli,C,Lørenskog IK,2,1,1,2,2,0
Simon Falk,RW,Lillehammer IK,4,1,1,2,4,0
Karl Falk,D,Lillehammer IK,4,1,1,2,4,0
Aron Jessli,LW,Lørenskog IK,2,0,2,2,4,0
Andreas Heier,LW,Stjernen Hockey,4,1,1,2,2,0
Oliver Calik,F,Stavanger Oilers,4,1,1,2,0,0
David Aas Larsen,C,Storhamar Ishockey,4,1,1,2,0,0
Johan Ceder,C,Narvik IK,5,1,1,2,0,0
Patrick Rørbu Elvsveen,F,Stavanger Oilers,4,1,1,2,10,0
Andreas Klavestad,D,Stavanger Oilers,4,0,2,2,4,0
Jonas Meisingset,D,Stavanger Oilers,4,0,2,2,0,0
Robin Andre Soudsky,D,Lillehammer IK,3,0,2,2,0,0
Lukas Fransson,RW,Nidaros Ishockeyklubb,5,1,1,2,2,0
Christian Lillestøl Torrissen,F,Vålerenga IF,4,0,2,2,0,0
Magnus Brekke Henriksen,C,Vålerenga IF,4,1,1,2,31,0
Christoffer Karlsen,RW,Stavanger Oilers,4,1,1,2,12,0
Christian Blomqvist,C,Stjernen Hockey,4,0,2,2,2,0
Emil Krabberød Buskoven,D,Stjernen Hockey,4,1,1,2,4,0
Trenton Bliss,LW,Stavanger Oilers,4,1,1,2,0,0
Hugo Niemi,D,Nidaros Ishockeyklubb,5,0,2,2,0,0
Jonathan Hafsmoe,F,Stjernen Hockey,4,0,2,2,0,0
Stian Kaltrud Nystuen,LW,Vålerenga IF,4,1,1,2,27,0
Jakop Leibnitz,F,Lillehammer IK,1,1,1,2,0,0
Sole Marius Ryen,RW,Stjernen Hockey,4,0,2,2,0,0
Johan Dehli Gjøs,LD,Lørenskog IK,4,0,2,2,0,0
Leo Johansen Halmrast,C,Vålerenga IF,2,0,2,2,25,0
Joachim Johannesen Barmoen,F,Lørenskog IK,4,1,1,2,0,0
Linus Hedman,RW,Narvik IK,5,0,2,2,0,0
Vetle Østrem Salsten,LW,Lillehammer IK,4,0,2,2,0,0
Magnus Eisenmenger,C,Sparta Sarpsborg,4,1,0,1,0,0
Noah Andersson,C,Narvik IK,4,1,0,1,4,0
Marcus Bryhnisveen,C,Storhamar Ishockey,4,1,0,1,0,0
Filip Lalande,F,Sparta Sarpsborg,4,1,0,1,0,0
Felix Granath,F,IF Frisk Asker,4,0,1,1,2,0
Andreas Hjelm,D,Storhamar Ishockey,4,0,1,1,0,0
Jeppe Meyer,D,Sparta Sarpsborg,4,0,1,1,4,0
Nikolai Olsvik,F,Lørenskog IK,3,1,0,1,2,0
Daniel Sakshaug,F,Nidaros Ishockeyklubb,5,1,0,1,0,0
Jens Jøsok Holstad,D,Lørenskog IK,4,0,1,1,2,0
Henrik Larsson,D,Vålerenga IF,4,0,1,1,0,0
Marcus Fagerudd,D,Sparta Sarpsborg,4,1,0,1,0,0
Jesper Martinsen Lilleberg,D,Sparta Sarpsborg,4,0,1,1,4,0
Patrik Dalen,C,Lørenskog IK,4,1,0,1,2,0
Mats Bakke Olsen,F,Storhamar Ishockey,4,1,0,1,0,0
Edvard Dehli Gjøs,F,Lørenskog IK,4,0,1,1,0,0
Tobias Tveter,F,Narvik IK,5,1,0,1,2,0
Didrik Baanerud,LW,Stavanger Oilers,4,0,1,1,4,0
Niclas Jessesen,D,Stjernen Hockey,4,0,1,1,2,0
Eirik Solbrekken Lavik,RW,Lørenskog IK,3,1,0,1,0,0
Esbjørn Fogstad Vold,F,Narvik IK,5,0,1,1,2,0
Håkon Løken Pedersen,D,Stavanger Oilers,4,0,1,1,4,0
Jonathan Hermansson,F,Sparta Sarpsborg,3,0,1,1,2,0
Hampus Rydqvist,F,Sparta Sarpsborg,4,0,1,1,4,0
Kristoffer Ole Tapper,D,Lørenskog IK,4,0,1,1,2,0
Noah Jacobsen,D,IF Frisk Asker,3,0,1,1,0,0
Leonards Rimjāns,F,Narvik IK,5,1,0,1,2,0
Oskar Matushkin,D,Vålerenga IF,3,0,1,1,0,0
Jørgen Nyhus Myhre,F,Lørenskog IK,2,1,0,1,2,0
Benjamin Byrkjeland,C,Narvik IK,5,0,1,1,0,0
Sondre Bergersen Bjerke,D,Vålerenga IF,4,0,1,1,0,0
Emil Andreas Lund Nyhus,F,Lillehammer IK,4,0,1,1,2,0
Carter Randklev,F,Lørenskog IK,3,0,1,1,0,0
Lars Erik Francke-Enersen,D,Narvik IK,5,0,1,1,0,0
Herman Mowe,RD,Vålerenga IF,4,1,0,1,0,0
Cliff Watson,D,Stavanger Oilers,4,0,1,1,0,0
André Bjelland Strandborg,C,Stavanger Oilers,4,0,1,1,0,0
Isac Skedung,C,Storhamar Ishockey,3,0,1,1,0,0
Amil Krupic,D,Storhamar Ishockey,4,0,1,1,6,0
Joe Gatenby,D,Storhamar Ishockey,4,0,1,1,0,0
Leo Brandbu Andersen,C,Stjernen Hockey,4,0,1,1,0,0
Jonas Nyman,LW,Lillehammer IK,4,0,1,1,4,0
Anders Jonassen,D,Nidaros Ishockeyklubb,5,0,1,1,4,0
Joakim Aarseth Opsahl,F,Stjernen Hockey,4,1,0,1,0,0
Kalle Ekelund,D,Vålerenga IF,4,0,1,1,2,0
Sander Vedul Kjelsås,D,Nidaros Ishockeyklubb,5,1,0,1,6,0
Jørgen Karterud,LW,Vålerenga IF,4,1,0,1,2,0
Nils Didrik Eide Utter,F,Stjernen Hockey,4,1,0,1,0,0
Ole Christian Westad Larssen,C,Nidaros Ishockeyklubb,5,1,0,1,0,0
Patrik Ulriksen,D,IF Frisk Asker,4,0,1,1,2,0
Linus Millner Westberg,D,Stjernen Hockey,4,0,1,1,6,0
Christian Bull,D,Storhamar Ishockey,4,0,1,1,0,0
Tobias Skuterud,F,IF Frisk Asker,4,0,1,1,0,0
Fredrik Bjørndal,LW,IF Frisk Asker,4,1,0,1,2,0
David Hallström,LW,Nidaros Ishockeyklubb,5,0,1,1,0,0
Christian Vethe Bye,C,IF Frisk Asker,4,0,1,1,2,0
Magnus Geheb Tveit,LW,IF Frisk Asker,4,0,1,1,0,0
Max Henrik Hagesveen Andresen,F,Nidaros Ishockeyklubb,5,1,0,1,2,0
Daniel Gloppen,F,Sparta Sarpsborg,4,0,1,1,4,0
Oliver Rystad,F,Lørenskog IK,2,1,0,1,2,0
Eskil Wold,F,IF Frisk Asker,4,1,0,1,2,0
Herman Teslo Skjefstad,F,Lørenskog IK,4,0,1,1,2,0
Kristian Sjødahl Østby,D,Stavanger Oilers,3,0,0,0,0,0
Zach O’Brien,RW,Storhamar Ishockey,1,0,0,0,0,0
Philip Eriksen,F,Stjernen Hockey,1,0,0,0,0,0
Henrik Knold,C,Sparta Sarpsborg,2,0,0,0,0,0
Kenneth Pappalardo Gulbrandsen,C,Storhamar Ishockey,4,0,0,0,0,0
Sander Gjørvad-Molde,D,IF Frisk Asker,2,0,0,0,0,0
Vegard Faret,F,Sparta Sarpsborg,4,0,0,0,0,0
Sebastian Labori Christiansen,F,Lørenskog IK,3,0,0,0,4,0
Fredrik Pedersen,D,Lørenskog IK,3,0,0,0,4,0
Sondre Krogh,F,Nidaros Ishockeyklubb,1,0,0,0,0,0
Nicolay Andresen,D,IF Frisk Asker,4,0,0,0,0,0
Brendan Ellis,D,Stavanger Oilers,4,0,0,0,4,0
Fredrik Mikkelsen,F,Lørenskog IK,4,0,0,0,0,0
Jonas Frostestad Gulbrandsen,F,Stavanger Oilers,1,0,0,0,0,0
Håkon Jonas Vaglen,LW,Narvik IK,5,0,0,0,0,0
William Steinsvik Kuisma,F,Stjernen Hockey,3,0,0,0,2,0
Axel Eker Christoffersen,D,Lillehammer IK,1,0,0,0,0,0
Marcus Fjeld,C,Storhamar Ishockey,1,0,0,0,0,0
Kyrre Haarberg Svarstad,D,Narvik IK,4,0,0,0,6,0
Matteus Söderbom,D,Nidaros Ishockeyklubb,3,0,0,0,4,0
Wilhelm Gullhav,D,Narvik IK,5,0,0,0,6,0
Magnus Menkerud,D,Lørenskog IK,4,0,0,0,4,0
Sander Thoresen,RW,Sparta Sarpsborg,3,0,0,0,2,0
Noah Sandø Gagnås,D,Nidaros Ishockeyklubb,1,0,0,0,0,0
Sander Dilling Hurrød,LW,Storhamar Ishockey,3,0,0,0,0,0
Andreas Bergum Hilbertsen,D,Narvik IK,4,0,0,0,4,0
Axel Sandnes,F,Storhamar Ishockey,4,0,0,0,4,0
Kristian Røykås Marthinsen,LW,Narvik IK,5,0,0,0,0,0
Anders Tangen Henriksen,RW,Stavanger Oilers,2,0,0,0,2,0
Alexander Moltu Kiønig,D,Lillehammer IK,4,0,0,0,2,0
Rasmus Koskinen,RW,Narvik IK,1,0,0,0,2,0
Casper Einvik Myklebust,F,Stjernen Hockey,4,0,0,0,4,0
Daniil Kuraiev,F,Stavanger Oilers,1,0,0,0,0,0
Peder Kyrkjeeide Øversveen,D,Narvik IK,4,0,0,0,27,0
Lukas Tjore,F,Nidaros Ishockeyklubb,4,0,0,0,2,0
Mathias Kolstad Strand,D,Storhamar Ishockey,1,0,0,0,0,0
Lucas Øvrebø Ondrcka,D,Lillehammer IK,4,0,0,0,2,0
Mats Theodor Skjellum Kokkim,F,Vålerenga IF,4,0,0,0,0,0
Mattias Brenne Halvorsen,LW,Nidaros Ishockeyklubb,4,0,0,0,0,0
Fredrik Vethe Bye,F,IF Frisk Asker,3,0,0,0,0,0
Oliver Kaatorp Nilsgård,F,Storhamar Ishockey,3,0,0,0,0,0
Nils Sunde,D,IF Frisk Asker,4,0,0,0,0,0
Mattias Alexandersen Juntti,D,Stjernen Hockey,1,0,0,0,0,0
Eskil Hølmo Stene,D,Stjernen Hockey,4,0,0,0,0,0
Sondre Bolling Vaaler,D,Narvik IK,5,0,0,0,0,0
Marcus Valkvæ Erevik,F,IF Frisk Asker,4,0,0,0,2,0
Christopher Lynch,D,Stjernen Hockey,4,0,0,0,0,0
Daniil Kovalenko,D,Sparta Sarpsborg,2,0,0,0,0,0
Douglas Byrkjeland,C,Narvik IK,5,0,0,0,4,0
Nicolai Evjen,F,Lillehammer IK,4,0,0,0,0,0
Alexander Thomas,RW,Sparta Sarpsborg,4,0,0,0,0,0
André Wang Bjerketvedt,F,Sparta Sarpsborg,1,0,0,0,0,0
David Nilsson,D,Lillehammer IK,4,0,0,0,2,0
Simen Ahlsen,C,Sparta Sarpsborg,4,0,0,0,2,0
Nicolai Eliesen,C,Sparta Sarpsborg,4,0,0,0,2,0
Dennis Rystad,D,Lørenskog IK,4,0,0,0,29,0
Simen Solbakken Haugen,F,Nidaros Ishockeyklubb,2,0,0,0,0,0
Emil Wasenden Kvernmo,D,IF Frisk Asker,2,0,0,0,0,0
Maksims Ponomarenko,D,Sparta Sarpsborg,4,0,0,0,33,0
Jarl Fredrik Tillman,F,Stjernen Hockey,4,0,0,0,2,0
Lars Petter Eckholm,LW,Stjernen Hockey,2,0,0,0,0,0
Ludvig Hoff,LW,Stavanger Oilers,1,,1,,,
Adrian Hethey Bakke,D,Lørenskog IK,,,,,,
Kristoffer Sandnes,F,Storhamar Ishockey,,,,,,
Andreas Dahl,LW,Storhamar Ishockey,,,,,,
Christian Kåsastul,D,IF Frisk Asker,,,,,,
Mathias Wetlesen Lierhagen,F,Storhamar Ishockey,,,,,,
Oskar Bjorli Lund,D,Lillehammer IK,,,,,,
Eirik Hagen Hellvik,F,Lillehammer IK,,,,,,
Ken Andre Olimb,C,Vålerenga IF,,,,,,
